name,combo
Ewell,1-2-3
Ewin,5-1-6
Fabian,2-4-6
Florencio,8-8-7
Fremont,2-8-1
Gaines,6-4-1
Garnet,6-5-2
Gaylord,7-5-3
German,6-7-4
Greene,6-3-9
Brady,1-4-5
Festus,8-1-9
Jewell,1-3-4
Odell,2-1-3
Rosco,3-4-7
Bernice,1-1-2
Chauncy,4-8-3
Delmer,1-2-3
Effie,1-3-4
Ellie,1-6-7
Jimmy,9-7-7
Lars,1-4-5
Milas,1-8-9
Miner,5-9-5
Rogers,2-8-1
Sarah,2-9-2
Wess,5-7-3
Woody,3-7-1
Bryan,1-5-6
Douglass,1-7-8
Hilton,6-9-6
Irvine,5-9-5
